Source,Target,Dialogues,Type,Time in Movie,Start Time Code,End Time Code,Time Duration
Bing Bong,,Bing Bong: Headquarters? You guys are from Headquarters?,,,,,
Joy,,"Joy: Well, yeah. I’m Joy. This is Sadness.",,,,,
Bing Bong,,"Bing Bong: You’re Joy, the Joy?",,,,,
Joy,,Joy: Mm-hmm.,,,,,
Bing Bong,,Bing Bong: Well what the heck are you doing out here?,,,,,
Joy,,"Joy: That’s a good question. You want to answer that, Sadness?",,,,,
Bing Bong,,"Bing Bong: Wow. Without you, Riley won’t ever be happy. We can’t have that. We gotta get you back. I’ll tell you what, follow me.",,,,,
Joy,,"Joy: Thank you. It is so great to see you again. I gotta tell you, I’m such a huge fan of your work. Do you remember when you and Riley were in a band? I went to all of your concerts.",,,,,
Bing Bong,,Bing Bong: Yeah. I blow a mean nose.,,,,,
Joy,,Joy: Watching you play tag was such a treat.,,,,,
Bing Bong,,Bing Bong: Two time room champ.,,,,,
Joy,,"Joy: Oh, and remember your rockets.",,,,,
Bing Bong,,"Bing Bong: Of course, it runs on song power.",,,,,
Joy,,Joy: That’s right. Your theme song. [starts singing] Who’s your friend who likes to play?,,,,,
Bing Bong,,Bing Bong: Bing Bong! Bing Bong!,,,,,
Joy,,Joy: His rocket makes you yell “Hooray!”,,,,,
Joy and Bing Bong,,Joy and Bing Bong: Bing Bong! Bing Bong! [they both laugh],,,,,
Sadness,,Sadness: What exactly are you supposed to be?,,,,,
Bing Bong,,"Bing Bong: You know, it’s unclear. I’m mostly cotton candy. But shape wise, I’m part cat, part elephant, part dolphin.",,,,,
Joy,,Joy: Dolphin?,,,,,
#N/A,,[he starts making a sound like a dolphin],,,,,
Bing Bong,,"Bing Bong: You gotta remember, when Riley was three, animals were all the rage. The cow goes meow, the horse goes oink. It’s all people talked about back then.",,,,,
Joy,,"Joy: Yeah, yeah. I guess that’s true. What are you doing out here?",,,,,
Bing Bong,,"Bing Bong: Well, there’s not much call for imaginary friends lately. So, I… Um, you know? [he looks sad]",,,,,
Joy,,"Joy: Hey. Hey. Don’t be sad. Tell you what. When I get back up to Headquarters, I’ll make sure Riley remembers you.",,,,,
Bing Bong,,Bing Bong: You will?,,,,,
Joy,,Joy: Of course. She’d love that.,,,,,
Bing Bong,,"Bing Bong: [he claps his hands with happiness] This is the greatest day of my life! [after Bing Bong hurts himself jumping up and down in excitement, he starts crying]",,,,,
Joy,,Joy: Are you okay?,,,,,
#N/A,,[referring to Bing Bong’s tears which are candy],,,,,
Sadness,,"Sadness: Hey, what’s going on?",,,,,
Bing Bong,,"Bing Bong: I cry candy. Try the caramel, it’s delicious.",,,,,
Joy,,Joy: Ooh. [as Joy goes to try one she nearly drops the core memory spheres],,,,,
Bing Bong,,Bing Bong: Here use this. [he gives Joy his bag],,,,,
Joy,,Joy: Thanks.,,,,,
Bing Bong,,"Bing Bong: Oh, hold on. Wait a second. [he empties it, and a huge amount of memory spheres drop out from the tiny bag] Here. [Joy and Sadness look shocked] What? It’s imaginary. [putting the core memories into Bing Bong’s imaginary bag]",,,,,
Joy,,Joy: Thanks. This will make it a lot easier to walk back to Headquarters.,,,,,
Bing Bong,,Bing Bong: Walk? We’re not walking. We’re taking the Train of Thought.,,,,,
Joy,,"Joy: The Train! Of course. That is so much faster, but how do we catch it?",,,,,
Bing Bong,,"Bing Bong: Well, it kind of goes all over the place, but there is a station in Imagination Land. I know a shortcut. Come on, this way.",,,,,
Joy,,Joy: Oh. I’m so glad we ran into you.,,,,,
Bing Bong,,Bing Bong: The station is right in here. After you.,,,,,
Sadness,,Sadness: Joy.,,,,,
Joy,,Joy: (annoyed) What?,,,,,
Sadness,,"Sadness: Well, I read about this place in the manual. We shouldn’t go in there.",,,,,
Joy,,Joy: Bing Bong says it’s the quickest way to Headquarters.,,,,,
Sadness,,"Sadness: No, but, Joy, this is abstract thought.",,,,,
Bing Bong,,"Bing Bong: What are you talking about? I go in here all the time. It’s a shortcut. You see. [he points up to the DANGER – KEEP OUT sign above the door] D-A-N-G-E-R. Shortcut. I’ll prove it to you. [he steps inside abstract thought] Look at me. I’m closer to the station, cause I’m taking the shortcut!",,,,,
Sadness,,Sadness: Let…let’s go around. This way.,,,,,
Bing Bong,,Bing Bong: Almost there.,,,,,
Joy,,"Joy: If you want to walk the long way, go for it. But Riley needs to be happy. I’m not missing that train. [Joy enters into abstract thought] Bing Bong knows what he is doing. He’s part dolphin, they’re very smart.",,,,,
Sadness,,"Sadness: Well, I guess. [reluctantly Sadness enters in as well]",,,,,
#N/A,,[the two mind workers come up to the abstract thought entrance],,,,,
Mind Worker #1,,Mind Worker #1: Okay. What abstract concept are we trying to comprehend today?,,,,,
Mind Worker #2,,"Mind Worker #2: Um, loneliness.",,,,,
Mind Worker #1,,Mind Worker #1: Hm. Looks like there’s something in there. I’m gonna turn it on for a minute and burn out the gunk. [she shuts the door; inside abstract through Joy and Sadness follow Bing Bong],,,,,
Bing Bong,,"Bing Bong: What did I tell ya, you’ll be in Headquarters in no time. [suddenly abstract thought becomes activated rendering everything into abstract form] Hey, will you look at that?",,,,,
Joy,,Joy: Whoa. What’s happening?,,,,,
Sadness,,"Sadness: Oh, no. They turned it on.",,,,,
Bing Bong,,Bing Bong: Never seen this before.,,,,,
#N/A,,[as he turns his form becomes abstract too scaring Joy and Sadness],,,,,
Bing Bong,,Bing Bong: [touching his abstract shaped face] My face! My beautiful face!,,,,,
#N/A,,[both Joy and Sadness have now turned into an abstract form],,,,,
Joy,,Joy: What is going on?,,,,,
Sadness,,Sadness: We’re abstracting! There are four stages. This is the first. Non-objective fragmentation!,,,,,
Bing Bong,,"Bing Bong: Alright, do not panic. What is important is that we all stay together. [suddenly his abstract arm falls off]",,,,,
Joy,,Joy: Oh! [Sadness and Joy start falling apart too],,,,,
Sadness,,"Sadness: We’re in the second stage, we’re deconstructing! [as Bing Bong falls to pieces]",,,,,
Bing Bong,,"Bing Bong: I can’t feel my legs! [picks one leg up] Oh, there they are.",,,,,
Joy,,"Joy: Come here, me!",,,,,
#N/A,,[they start putting their abstract pieces of body back together],,,,,
Sadness,,Sadness: We gotta get out of here! Before we’re not even shape and color! We’ll get stuck here forever!,,,,,
Joy,,"Joy: Bong, why did we come in here?",,,,,
Bing Bong,,Bing Bong: I told you! It’s a shortcut!,,,,,
#N/A,,[they hear the train approaching the station],,,,,
Joy,,Joy: The train!,,,,,
#N/A,,[as they start making their way towards the exit door they turn 2 dimensional],,,,,
Sadness,,"Sadness: Oh, no. We’re two dimensional. That’s stage three!",,,,,
Joy,,Joy: We’re getting nowhere!,,,,,
Bing Bong,,Bing Bong: Depth! I’m lacking depth!,,,,,
#N/A,,[as she tries to get her 2D body through the exit door],,,,,
Joy,,Joy: We can’t fit!,,,,,
#N/A,,[they suddenly change into figurative shapes],,,,,
Sadness,,"Sadness: Oh, no! We’re not figurative! This is the last stage!",,,,,
Bing Bong,,Bing Bong: We’re not gonna make it!,,,,,
#N/A,,[they change shape again],,,,,
Sadness,,"Sadness: Wait, we’re two dimensional! Fall on your face!",,,,,
#N/A,,[as they all become 2D they exit abstract thought but miss the train],,,,,
Joy,,Joy: Stop! Stop! No! [after they missed the train] I thought you said that was a shortcut!,,,,,
Bing Bong,,"Bing Bong: I did! But, wow! We should not had gone in there, that was dangerous, they should really put up a sign!",,,,,
Joy,,Joy: How long till the next train?,,,,,
Bing Bong,,"Bing Bong: Who knows. But don’t worry, there’s another station, that way. The Train always stops there, right before it goes to Headquarters. If we hurry, we can catch it.",,,,,
Joy,,"Joy: This isn’t another one of your shortcuts, is it?",,,,,
Bing Bong,,Bing Bong: [chuckles] Yeah! [sets off],,,,,
Joy,,Joy: Is there really another station?,,,,,
Sadness,,Sadness: Uh-huh. Through there.,,,,,
#N/A,,[as they enter Imagination Land],,,,,
Bing Bong,,Bing Bong: Welcome to Imagination Land.,,,,,
Joy,,Joy: Imagination Land?,,,,,
Bing Bong,,"Bing Bong: Sure, I come here all the time. I’m practically the mayor. Hey, you guys hungry? There’s French Fry Forest.",,,,,
Joy,,Joy: No way!,,,,,
Bing Bong,,"Bing Bong: Check it out! Trophy Town. Medals, ribbons, everyone’s a winner! [as he gets a bunch of trophies] I won first place!",,,,,
Joy,,Joy: Me too!,,,,,
Sadness,,Sadness: [She just gets a badge] Oh. Participation award.,,,,,
#N/A,,[as they jump across some lava],,,,,
Joy,,"Joy: Oh, no! Lava!",,,,,
Bing Bong,,Bing Bong: Imagination Land is the best.,,,,,
Sadness,,"Sadness: Oh, has it all gotta be so interactive.",,,,,
Bing Bong,,"Bing Bong: Hey, look! The House of Cards. Ooh, wait. Hang on just a minute. [he finds his rocket]",,,,,
Joy,,Joy: Your rocket.,,,,,
Bing Bong,,"Bing Bong: Yeah. I stashed it in there for safekeeping. And now I’m all set to take Riley to the moon! [he extends his arm in excitement and accidentally knocks down the house of cards being built by two mind workers] Oh, I’m sorry.",,,,,
Mind Worker,,Mind Worker: Great.,,,,,
Joy,,"Joy: Oh, I love Imagination Land.",,,,,
Bing Bong,,Bing Bong: Isn’t it great? And there’s always something new like… Who the heck is that?,,,,,
Mind Worker,,Mind Worker: Imaginary boyfriend.,,,,,
Imaginary Boyfriend,,Imaginary Boyfriend: I would die for Riley.,,,,,
Bing Bong,,Bing Bong: Wow. I’ve never seen him before.,,,,,
Imaginary Boyfriend,,Imaginary Boyfriend: I live in Canada.,,,,,
Bing Bong,,"Bing Bong: Anyway, this way, through Preschool World. We’re nearly to the train.",,,,,
Joy,,"Joy: Riley, here we come. Woo-hoo!",,,,,
#N/A,,"[back with Riley, she’s about to do the tryout for the hockey team]",,,,,
Mom,,"Mom: This should be fun. New team, new friends. There kids looked pretty good, considering they’re from San Francisco.",,,,,
Riley,,Riley: Got to go.,,,,,
Mom,,"Mom: Okay. Good luck, sweetie!",,,,,
Disgust,,"Disgust: Luck isn’t going to help us now. If she tries to use Hockey Island, it’s going down.",,,,,
Fear,,Fear: Which is why I’ve recalled every hockey memory I can think of. [he dumps down several memory orbs],,,,,
Disgust,,Disgust: One of these is gotta work in place of the core memory. [as Riley is about to start playing hockey for the tryout],,,,,
Anger,,Anger: She’s about to play!,,,,,
Disgust,,Disgust: Hurry!,,,,,
#N/A,,[Fear places a memory orb into the hub and goes to see Hockey Island being activated],,,,,
Fear,,"Fear: We did it, gang. It’s working! [suddenly the hub rejects and throws out the memory orb and Hockey Island stops working, Fear tries to stuff as many memory orbs into the hub but they were all rejected]",,,,,
Disgust,,Disgust: It’s like we don’t learn anything. [after Riley misses hitting into the goal],,,,,
Anger,,Anger: That's it!,,,,,
Fear,,"Fear: No, no, no. Breathe. Find your happy place.",,,,,
#N/A,,"[Anger hits Fear aside then pulls the console levers, Riley drops down her hockey stick and storms off in anger to take off her hockey skates]",,,,,
Mom,,"Mom: Riley, what’s wrong?",,,,,
Riley,,Riley: Let’s go!,,,,,
Mom,,Mom: You’re not going to finish try outs?,,,,,
Riley,,Riley: What’s the point?,,,,,
Mom,,"Mom: Hey, it’ll be alright. Let’s just go back....",,,,,
Riley,,Riley: Stop saying everything will be alright! [Riley stomps off in anger],,,,,
#N/A,,[as they watch Hockey Island crumbles and falls into the Abyss],,,,,
Joy,,"Joy: Hockey! Oh, no, no. She loves hockey. She can’t give up hockey. Bing Bong, we have to get to that station.",,,,,
Bing Bong,,"Bing Bong: Sure thing. This way, just past Graham Cracker Castle. Hey, that’s weird. Graham Cracker Castle used to be right here, I wonder why they moved it. I would have sworn Sparkle Pony Mountain was right here. Hey, what’s going on?",,,,,
Joy,,"Joy: Yeah, yeah. I don’t know. We’ll have to come back.",,,,,
Bing Bong,,"Bing Bong: Princess Dreamworld! [suddenly Princess Dreamworld is knocked down] Oh, The Stuffed Animal Hall of Fame. [this is also being taken down]",,,,,
#N/A,,[as he sees a memory worker taking away his rocket],,,,,
Bing Bong,,Bing Bong: My rocket? Wait! Riley and I were still using that rocket. It-it-it still has some song power left. [he starts singing the words] Who’s your friend who likes to play?,,,,,
#N/A,,[the rocket is taken dumped onto a pile of other obsolete memories],,,,,
Bing Bong,,"Bing Bong: No! No, no, no! You can’t take my rocket to the Dump. Riley and I are going to the moon. [the rocket is dumped into the Abyss] Riley can’t be done with me? [trying to cheer Bing Bong up]",,,,,
Joy,,"Joy: Hey, it’s gonna be okay. We can fix this. We just need to get back to Headquarters. Which way to the train station?",,,,,
Bing Bong,,Bing Bong: I had a whole trip planned for us.,,,,,
Joy,,"Joy: Hey, who’s ticklish, huh? Here comes the tickle monster. [Joy tries to cheer Bing Bong up but fails] Hey. Bing Bong, look at this. [she pulls a funny face but Bing Bong is too sad to look] Oh, here’s a fun game. You point to the train station and we all go there. Won’t that be fun? Come on, let’s go to the train station.",,,,,
#N/A,,[to the dejected and heartbroken Bing Bong],,,,,
Sadness,,"Sadness: I’m sorry they took your rocket. They took something that you loved. It’s gone, forever.",,,,,
Joy,,"Joy: Sadness, don’t make him feel worse.",,,,,
Sadness,,Sadness: Sorry.,,,,,
Bing Bong,,Bing Bong: It’s all I had left of Riley.,,,,,
Sadness,,Sadness: I bet you and Riley had great adventures.,,,,,
Bing Bong,,"Bing Bong: Oh, they were wonderful. Once, we flew back in time. We had breakfast twice that day.",,,,,
Joy,,Joy: Sadness.,,,,,
Sadness,,Sadness: It sounds amazing. I bet Riley liked it.,,,,,
Bing Bong,,"Bing Bong: Oh, she did. We were best friends. [Bing Bong starts crying]",,,,,
Sadness,,"Sadness: Yeah, it’s sad. [she comforts Bing Bong and he cries (with candy tears in his eyes) in her arms as Joy watches in bewilderment]",,,,,
#N/A,,[after he’s cried in Sadness’s arms],,,,,
Bing Bong,,Bing Bong: I’m okay now. Come on. The train station is this way. [he sets off with Sadness and Joy following him],,,,,
Joy,,Joy: How did you do that?,,,,,
Sadness,,"Sadness: Well, I don’t know. He was sad so I listened to what…",,,,,
Bing Bong,,Bing Bong: Hey! There’s the train.,,,,,
#N/A,,[the three of them get onto the train],,,,,
Joy,,"Joy: Oh, we made it. We’re finally gonna get home! [after she accidentally knock down two boxes containing facts and opinions] Oh, no. These facts and opinions look so similar.",,,,,
Bing Bong,,"Bing Bong: Ah, don’t worry about it. Happens all the time. [after the failed hockey tryout Riley sulks in her room]",,,,,
Disgust,,"Disgust: On a scale of one to ten, I give this day an F.",,,,,
Anger,,"Anger: Well, why don’t we quit standing around and do something.",,,,,
Disgust,,"Disgust: Like what, genius?",,,,,
Fear,,"Fear: Like quitting. That’s what I’m doing. Sure, it’s the coward’s way out. But this coward's gonna survive.",,,,,
#N/A,,[Fear tries to go up the tube but he gets knocked out],,,,,
Disgust,,"Disgust: Emotions can’t quit, genius.",,,,,
Anger,,"Anger: Hey, our life was perfect. Until Mom and Dad decided to move to San Fran stink town!",,,,,
Fear,,"Fear: But, I mean, it’s just so drastic.",,,,,
Anger,,"Anger: Need I remind you of how great things were there. Our room. Our backyard. Our friends. [suddenly the gum commercial song starts playing] Did I ask for the gum commercial?! Anyway, it was better. That’s my point.",,,,,
Disgust,,"Disgust: Yeah, Riley was happier in Minnesota.",,,,,
Fear,,Fear: Wait. Hold on. Shouldn’t we just sleep on this or something?,,,,,
Anger,,"Anger: Fine, let’s sleep on it. Because, hey, I’m sure jolly fun-filled times are just around the corner. [we see Riley falling asleep]",,,,,
#N/A,,[as Riley falls asleep the train stops],,,,,
Joy,,"Joy: Hey, hey. Why aren’t we moving?",,,,,
Mind Worker,,Mind Worker: Riley’s gone to sleep. We’re all on break.,,,,,
Sadness,,Sadness: You mean we’re stuck here until morning?,,,,,
Bing Bong,,Bing Bong: Yeah. The Train of Thought doesn’t run while she’s asleep.,,,,,
Joy,,"Joy: Oh, we can’t wait that long.",,,,,
Sadness,,Sadness: How about we wake her up?,,,,,
Joy,,"Joy: Sadness, that’s ridiculous. How can we possibly…? [they all notice Dream Production just across from them] How about we wake her up.",,,,,
Sadness,,"Sadness: Great idea, Joy.",,,,,
Joy,,"Joy: Thanks, come on. [as they walk inside Dream Productions] Whoa. This place is huge.",,,,,
Sadness,,Sadness: It looks so much smaller than I expected. [looking up at massive posters which look like movie posters of Riley’s dreams],,,,,
Bing Bong,,"Bing Bong: Wow, I can fly. I loved that one.",,,,,
Joy,,Joy: Rainbow Unicorn. She’s right there. [as they try to walk quietly passed Rainbow Unicorn],,,,,
Sadness,,Sadness: My friend says you’re famous. She wants your autograph.,,,,,
Joy,,"Joy: No, no. Sadness, don’t bother Miss Unicorn, okay? Sorry she’s from out of town. It’s so embarrassing, right? [leaves but comes back] I loved you in Fairy Dream Adventure Part 7. Okay, bye. I love you. [they come up to a door with flashing light and sign that says, “DO NOT ENTER WHEN LIGHT FLASHING]",,,,,
Bing Bong,,"Bing Bong: Huh! Wonder what that means? Oh, well. Let’s go in. [they enter the studio where Riley’s dreams are produced]",,,,,
Dream Director,,"Dream Director: Set up the classroom set! Today’s memories are in, we’ve got a lot to work with here. Riley dumped her best friend, had a miserable day at school and quit hockey. The writers had put together a killer script. [back at headquarters]",,,,,
Fear,,"Fear: Just because Joy and Sadness are gone, I have the stupid dream duty.",,,,,
Joy,,Joy: Okay. How are we gonna wake her up?,,,,,
Sadness,,"Sadness: Well, she wakes up sometimes when she has a scary dream. We could scare her.",,,,,
Joy,,"Joy: Scare her? No, no. She’s been through enough already.",,,,,
Sadness,,"Sadness: But, Joy…",,,,,
Joy,,"Joy: Sadness, you may know your way around down here. But I know Riley. We’re gonna make her so happy, she’ll wake up with exhilaration. We’ll excite her awake.",,,,,
Sadness,,Sadness: That’s never happened before. [sees a dog costume],,,,,
Joy,,"Joy: Wooh, Riley loves dogs. Put this on.",,,,,
Sadness,,Sadness: I don’t think that’ll work.,,,,,
Joy,,Joy: Bing Bong.,,,,,
Bing Bong,,Bing Bong: Yeah.,,,,,
Joy,,Joy: Don’t let anything happen to these. [gives him the bag containing the core memory orbs],,,,,
Bing Bong,,Bing Bong: Got it. [as she directs Riley’s dream with ],,,,,
Dream Director,,"Dream Director: Uh-huh. Add the reality distortion filter. [we see they are trying to recreate Riley’s day in the classroom] Love it. Remember, play to the camera everyone. Riley is the camera. Makeup, get out of there. We are on in five, four, three…",,,,,
Riley’s Teacher,,Riley’s Teacher: Hello class. Before we begin today’s pop quiz…,,,,,
#N/A,,[back in headquarters Fear is watching Riley’s dream],,,,,
Fear,,"Fear: Man, she is one bad actress.",,,,,
#N/A,,[Fear watches Riley’s dream as they show her teeth falling out as she was introducing herself in class and the student making fun of her],,,,,
Student in Riley’s Dream,,"Student in Riley’s Dream: Eww, look. Her teeth are falling out!",,,,,
Fear,,"Fear: Teeth falling out. Yeah, I’m used to that one. Let me guess, we have no pants on.",,,,,
#N/A,,[back to Riley’s dream],,,,,
Student in Riley’s Dream,,"Student in Riley’s Dream: Hey, look. She came to school with no pants on!",,,,,
Fear,,Fear: Called it!,,,,,
#N/A,,[as they dress up in the dog costume getting ready to crash Riley’s dream],,,,,
Joy,,Joy: Ready?,,,,,
Sadness,,Sadness: I don’t think this happy thing is going to work. But if we scare her…,,,,,
Joy,,"Joy: Just follow my lead. Here we go. [they crash the dream running around in the dog costume] Bark, bark, bark, bark…",,,,,
Dream Director,,Dream Director: Who is that?,,,,,
Fear,,"Fear: Uh, what’s going on? [as Joy’s attempt to infiltrate Riley’s dream goes wrong]",,,,,
Dream Director,,Dream Director: They’re trying to wake her up. Call security.,,,,,
#N/A,,[suddenly Bing Bong shows himself in her dream],,,,,
Bing Bong,,"Bing Bong: Hi, Riley. It’s me.",,,,,
Fear,,Fear: Bing Bong?,,,,,
Joy,,"Joy: Sadness, you are ruining this dream. You’re scaring her.",,,,,
Sadness,,"Sadness: But look, it’s working.",,,,,
#N/A,,[they watch as Riley’s sleepmometer starts to swing closer to awake],,,,,
Dream Director,,"Dream Director: [to the subconscious guards pointing to Joy, Sadness and Bing Bong] They’re not part of this dream. Get them.",,,,,
Subconscious Guard Frank,,Subconscious Guard Frank: Stop right there!,,,,,
#N/A,,[they guards capture Bing Bong; to the camera which is supposed to be Riley],,,,,
Dream Director,,Dream Director: Pan away. Pan away.,,,,,
#N/A,,[the camera pans away and we see Rainbow Unicorn getting caught eating cupcakes],,,,,
Fear,,Fear: Boo! Pick a plot line.,,,,,
Bing Bong,,Bing Bong: You can’t do this. I know people in Headquarters.,,,,,
#N/A,,[Joy and Sadness watch as the guards drag Bing Bong away to Riley’s subconscious],,,,,
Joy,,"Joy: No, no, no, no, no, no! There go the core memories.",,,,,
Bing Bong,,"Bing Bong: Not in there. I’m scared of the dark, please!",,,,,
Joy,,Joy: [to Sadness] Come on. What is this place?,,,,,
Sadness,,Sadness: The subconscious. It’s where they take all the troublemakers.,,,,,
#N/A,,[Joy and Sadness hide to watch the guards keeping guard outside subconscious gates],,,,,
Subconscious Guard Frank,,Subconscious Guard Frank: My hat feels loose.,,,,,
Joy,,Joy: [to Sadness] How do we get in?,,,,,
#N/A,,[Sadness leads Joy off],,,,,
Subconscious Guard Dave,,Subconscious Guard Dave: Let me see.,,,,,
Subconscious Guard Frank,,Subconscious Guard Frank: Have you got my hat or is that your hat?,,,,,
Subconscious Guard Dave,,"Subconscious Guard Dave: Yeah, it’s my hat.",,,,,
Subconscious Guard Frank,,Subconscious Guard Frank: You sure?,,,,,
Subconscious Guard Dave,,Subconscious Guard Dave: I don’t know.,,,,,
Subconscious Guard Frank,,Subconscious Guard Frank: Look at the label. [takes his hat off and looks at the label],,,,,
Subconscious Guard Dave,,"Subconscious Guard Dave: Yeah, it says my hat.",,,,,
Subconscious Guard Frank,,Subconscious Guard Frank: Wait. It says “my hat”?,,,,,
Subconscious Guard Dave,,"Subconscious Guard Dave: “My hat”, it says.",,,,,
Subconscious Guard Frank,,Subconscious Guard Frank: That’s what I wrote in my hat.,,,,,
Subconscious Guard Dave,,Subconscious Guard Dave: What are you talking about?,,,,,
Subconscious Guard Frank,,Subconscious Guard Frank: Look. You’ve got my hat on.,,,,,
Subconscious Guard Dave,,"Subconscious Guard Dave: Okay, it’s my hat.",,,,,
#N/A,,[as the guards argue Joy and Sadness try to break open the gates catching their attention on purpose],,,,,
Subconscious Guard Frank,,"Subconscious Guard Frank: Hey, you!",,,,,
Sadness,,"Sadness: Oh, you caught us.",,,,,
Subconscious Guard Dave,,Subconscious Guard Dave: Get back in there! No escaping!,,,,,
#N/A,,[they push Joy and Sadness through the gates and into subconscious],,,,,
Sadness,,Sadness: Oh. I don’t like it here. It’s where they keep Riley’s darkest fears. [they run into a giant broccoli],,,,,
Joy,,Joy: It’s broccoli! [then a door opens with stairs leading down somewhere],,,,,
Sadness,,Sadness: The stairs to the basement!,,,,,
Joy,,Joy: Grandma’s vacuum cleaner! [a giant vacuum cleaner chases after them],,,,,
#N/A,,[they find Bing Bong crying inside a cage made out of balloons],,,,,
Joy,,Joy: Bing Bong.,,,,,
Bing Bong,,Bing Bong: Joy?,,,,,
Joy,,Joy: There you are.,,,,,
Bing Bong,,Bing Bong: Shhh.,,,,,
#N/A,,[they see Bing Bong is on top of a giant sleeping clown],,,,,
Joy,,Joy: It’s Jangles. [Joy sneaks up to Bing Bong as Jangles sleeps] Do you have the core memories?,,,,,
Bing Bong,,Bing Bong: Yeah. All he cared about was the candy. [he hands the bag of core memories to Joy],,,,,
#N/A,,[Joy helps Bing Bong escape and away from Jangles],,,,,
Bing Bong,,Bing Bong: We’re outta here. Let’s get to that train.,,,,,
Joy,,Joy: Wait. The train is not running. We still have to wake up Riley.,,,,,
Sadness,,Sadness: But how?,,,,,
#N/A,,[Joy and Sadness look at the snoring Jangles],,,,,
Bing Bong,,"Bing Bong: Oh, no.",,,,,
#N/A,,[Joy and Sadness wake Jangles up],,,,,
Joy,,"Joy: Hey, Sadness. Did you hear about the pa-pa-party they were having?",,,,,
Sadness,,"Sadness: Yeah. Yes, Joy. Isn’t it a b-b-birthday party?",,,,,
Jangles,,Jangles: Did you say birthday?,,,,,
Joy,,Joy: And there’s going to be cake and presents.,,,,,
Sadness,,Sadness: And games and balloons.,,,,,
Jangles,,Jangles: A birthday!,,,,,
Joy,,Joy: Okay. Follow us.,,,,,
#N/A,,[Jangles starts stomping around and following them],,,,,
Joy,,"Joy: Nothing like a good scare to wake you up, right? [still arguing over their hats]",,,,,
Subconscious Guard Dave,,"Subconscious Guard Dave: Okay, it’s my hand writing.",,,,,
Subconscious Guard Frank,,"Subconscious Guard Frank: No, it isn’t. It’s my hat, I wrote that.",,,,,
Subconscious Guard Dave,,"Subconscious Guard Dave: No, but this one’s my hat.",,,,,
#N/A,,"[suddenly Jangles breaks through the gates and Joy, Sadness and Bing Bong escape and finally Jangles scares Riley awake and the trio get back on the train]",,,,,
Disgust,,Disgust: [as Riley wakes Disgust and Anger also wake up to find Fear huddled under the console] What is going on?,,,,,
Anger,,Anger: He did it again!,,,,,
Fear,,"Fear: We were at school, and we were naked and there was a dog, the back half was…was chasing it, and there was a Bing Bong!",,,,,
Anger,,Anger: You idiot! It was a dream! This is ridiculous! We can’t even get a good night sleep anymore. Time to take action. [he picks up an idea lightbulb] Stupid Mom and Dad. If they hadn’t moved us none of this would have happened. Who’s with me?,,,,,
Fear,,"Fear: Um, um, um, um. No, no, no, no.",,,,,
Disgust,,Disgust: Yeah. Let’s do it.,,,,,
#N/A,,[Anger plants the idea to run away in Riley’s head and she takes it],,,,,
Anger,,Anger: She took it. There’s no turning back.,,,,,
Disgust,,Disgust: So how are we going to get to Minnesota from here?,,,,,
Anger,,"Anger: Well, why don’t we go down to the elephant lot and rent an elephant?",,,,,
Fear,,"Fear: Hey, that sounds nice.",,,,,
Anger,,"Anger: WE’RE TAKING THE BUS, NITWIT!",,,,,
#N/A,,[we see Riley checking for bus tickets on her computer],,,,,
Anger,,"Anger: There is a bus leaving tomorrow, perfect.",,,,,
Disgust,,Disgust: A ticket cost money. How do we get money?,,,,,
Anger,,Anger: Mom’s purse.,,,,,
Disgust,,Disgust: You wouldn’t.,,,,,
Anger,,"Anger: Oh, but I would. Where was it we saw it last? [the gum commercial song comes into Riley’s head again] No! It’s downstairs somewhere. Mom and Dad got us into this mess, they can pay to get us out.",,,,,
Bing Bong,,"Bing Bong: [to Joy and Sadness as they ride on the Train of Thought] How about this? Huh? Isn’t this nice? You can see everything from up here. Look, there’s Inductive Reasoning. There’s Deja Vu. There’s Language Processing. There’s Deja Vu. There’s Critical Thinking. There’s Deja Vu. And look at this, guys, memories!",,,,,
Joy,,Joy: Hey. That was a good idea. About scaring Riley awake. You’re not so bad.,,,,,
Sadness,,Sadness: Really?,,,,,
Joy,,"Joy: Nice work. I can’t wait to get the old Riley back. As soon as we get there, I’m going to fix this whole mess. [looking at one of the memory orbs]",,,,,
Bing Bong,,"Bing Bong: Woah, is this Riley? She’s so big now, she won’t fit in my rocket. How are we gonna get to the moon?",,,,,
Joy,,"Joy: Oh, it’s that time in the twisty tree, remember? The hockey team showed up and Mom and Dad were there cheering. Look at her, having fun and laughing. I love this one.",,,,,
Sadness,,Sadness: I love that one too.,,,,,
Joy,,Joy: Atta girl! Now you’re getting it.,,,,,
Sadness,,"Sadness: Yeah. It was the day the Prairie dogs lost the big playoff game. Riley missed the winning shot, she felt awful, she wanted to quit. Sorry. I went sad again, didn't I?",,,,,
Joy,,"Joy: I’ll tell you what. We can keep working on that when we get back, okay?",,,,,
Sadness,,Sadness: Okay.,,,,,
#N/A,,[after Riley steal her Mom’s credit card this causes Honesty Island to collapse this in turn destroys Train of Thought],,,,,
Joy,,Joy: Honesty Island? That was our way home. We lost another island? What is happening?!,,,,,
Mind Worker,,Mind Worker: Haven’t you heard? Riley is running away.,,,,,
Joy,,Joy: What?,,,,,
Fear,,"Fear: [as Riley is packing to run away] Wait, wait. Hang on, guys. Are we really doing this? I mean, this is serious.",,,,,
